S.No,Longitude ,Latitude
1,87.28319,23.69518
2,87.26175,23.713366
3,87.24107,23.717365
4,87.19474,23.670653
5,87.15726,23.628429
6,87.16114,23.633391
7,87.16243,23.600001
8,87.17665,23.672268
9,87.0528,23.687724
10,87.06577,23.609742
11,86.88346,23.773145
12,86.92478,23.785194
13,86.95763,23.7890472
14,86.99786,23.814794
15,86.86649,23.759945
16,86.69618,23.797147
17,86.70304,23.780128
18,86.7747,23.755367
